identifiant,Prénom,Nom,Région,Département,Numéro de circonscription,Profession,Groupe politique (complet),Groupe politique (abrégé),réélu.e
721004,Amélia,Lakrafi,Français établis hors de France,Français établis hors de France,10,Chef d'entreprise,La République en Marche,LaREM,Oui
722046,Aurore,Bergé,Ile-de-France,Yvelines,10,Cadre supérieur (secteur privé),La République en Marche,LaREM,Oui
719550,Liliana,Tanguy,Bretagne,Finistère,7,Cadre supérieur du secteur public ,La République en Marche,LaREM,Oui
719294,Mireille,Clapot,Auvergne-Rhône-Alpes,Drôme,1,Cadre supérieur (entreprises publiques),La République en Marche,LaREM,Oui
1206,Nicolas,Dupont-Aignan,Ile-de-France,Essonne,8,Administrateur civil,Non inscrit,NI,Oui
720370,Ludovic,Mendes,Grand Est,Moselle,2,Cadre supérieur (secteur privé),La République en Marche,LaREM,Oui
718962,Jean-Marc,Zulesi,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,8,Autre cadre (secteur privé),La République en Marche,LaREM,Oui
643157,Philippe,Naillet,Réunion,Réunion,1,Inspecteur assurance-vie,Socialistes et apparentés,SOC,Oui
718850,Pierre,Cordier,Grand Est,Ardennes,2,Fonctionnaire de catégorie A,Les Républicains,LR,Oui
720022,Michel,Lauzzana,Nouvelle-Aquitaine,Lot-et-Garonne,1,Médecin,La République en Marche,LaREM,Oui
718860,Bénédicte,Taurine,Occitanie,Ariège,1,Professeur du secondaire et technique,La France insoumise,FI,Oui
720038,Sandrine,Josso,Pays de la Loire,Loire-Atlantique,7,Autre profession libérale,Mouvement Démocrate (MoDem) et Démocrates apparentés,Dem,Oui
610654,Jean-Philippe,Nilor,Martinique,Martinique,4,Collaborateur parlementaire,Gauche démocrate et républicaine,GDR,Oui
783457,Victor,Habert-Dassault,Hauts-de-France,Oise,1,Avocat,Les Républicains,LR,Oui
722070,Pierre,Henriet,Pays de la Loire,Vendée,5,Professeur du secondaire et technique,La République en Marche,LaREM,Oui
719558,Erwan,Balanant,Bretagne,Finistère,8,Photographe et réalisateur,Mouvement Démocrate (MoDem) et Démocrates apparentés,Dem,Oui
719318,Emmanuelle,Anthoine,Auvergne-Rhône-Alpes,Drôme,4,Avocate,Les Républicains,LR,Oui
719186,Fadila,Khattabi,Bourgogne-Franche-Comté,Côte-d'Or,3,Professeur d'anglais CFA                   ,La République en Marche,LaREM,Oui
719202,Didier,Paris,Bourgogne-Franche-Comté,Côte-d'Or,5,Cadre supérieur (secteur privé),La République en Marche,LaREM,Oui
718978,Mohamed,Laqhila,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,11,Expert-Comptable-Commissaire aux Comptes,Mouvement Démocrate (MoDem) et Démocrates apparentés,Dem,Oui
721024,Anne,Genetet,Français établis hors de France,Français établis hors de France,11,Médecin,La République en Marche,LaREM,Oui
